id,born,bornIn,died,imdbId,name,poster,tmdbId,url,actor,director
20960,1965-01-05,Watford - Hertfordshire - England - UK,,5068.0,Vinnie Jones,https://image.tmdb.org/t/p/w440_and_h660_face/tkYWG9gY2QpoBfOh4OWNz8yQfsw.jpg,980,https://themoviedb.org/person/980,1,0
20962,1965-12-26,Los Angeles - California - USA,,197453.0,Nadia Dajani,,167604,https://themoviedb.org/person/167604,1,0
20965,1938-09-01,"New York, New York, U.S.A.",,220641.0,Alan M. Dershowitz,https://image.tmdb.org/t/p/w440_and_h660_face/db6q6R2gsmrtPRXs1097gTxOE2a.jpg,585015,https://themoviedb.org/person/585015,1,0
20966,1947-10-23,Rhodesia [now Zimbabwe],,27215.0,Miles Anderson,https://image.tmdb.org/t/p/w440_and_h660_face/9jVWEdohM3y3Jrb7xiz9dXZkyeJ.jpg,65885,https://themoviedb.org/person/65885,1,0
20968,1946-08-01,"Portsmouth, Hampshire, England, UK",,129464.0,David Calder,https://image.tmdb.org/t/p/w440_and_h660_face/n5piJegvFT7ppHb7zVbRvzP8l9R.jpg,10779,https://themoviedb.org/person/10779,1,0
20969,1976-08-09,"Paddington, London, England, UK",,593961.0,Rhona Mitra,https://image.tmdb.org/t/p/w440_and_h660_face/fcNw2EGkmlO0zlFh72KvubMbsjH.jpg,25702,https://themoviedb.org/person/25702,1,0
20970,1953-08-19,"Brunico, Bolzano, Trentino-Alto Adige, Italy",,604335.0,Nanni Moretti,https://image.tmdb.org/t/p/w440_and_h660_face/8n8vJyP2DqN9f8wXyjsLWYiqtzY.jpg,69488,https://themoviedb.org/person/69488,1,1
20971,1981-04-24,"Rome, Italy",,872910.0,Jasmine Trinca,https://image.tmdb.org/t/p/w440_and_h660_face/bnaL4BhkiCaVK6AIEYAB0YVpBIw.jpg,69489,https://themoviedb.org/person/69489,1,0
20972,1983-06-26,"Roma, Italy",,762524.0,Giuseppe Sanfelice,https://image.tmdb.org/t/p/w440_and_h660_face/wpNlNFZGg7djMexELaOMnyr2yaG.jpg,69490,https://themoviedb.org/person/69490,1,0
20973,,,,1076235.0,Adam Chubbuck,https://image.tmdb.org/t/p/w440_and_h660_face/tnxVhm5MOjayrLA2T5zedhliRwa.jpg,51929,https://themoviedb.org/person/51929,1,0
20974,,,,120023.0,James Bullard,https://image.tmdb.org/t/p/w440_and_h660_face/1KiyI4Ss05CdOdh5HeogreSoi4n.jpg,51927,https://themoviedb.org/person/51927,1,0
20976,1967-03-19,"Seattle, Washington, USA",,199920.0,Eddie Daniels,,990465,https://themoviedb.org/person/990465,1,0
20977,1971-06-02,"Indianapolis, Indiana, USA",,599719.0,Anthony Montgomery,https://image.tmdb.org/t/p/w440_and_h660_face/oP6w8C5jPPUv0JXlbHuQQnGzXE0.jpg,151377,https://themoviedb.org/person/151377,1,0
20978,1980-02-25,"Altadena, California, USA",,620558.0,Rashaan Nall,,94646,https://themoviedb.org/person/94646,1,0
20979,,,,917660.0,Minzhi Wei,,146106,https://themoviedb.org/person/146106,1,0
20980,,,,955356.0,Huike Zhang,,146107,https://themoviedb.org/person/146107,1,0
20981,,,,862513.0,Zhenda Tian,,146108,https://themoviedb.org/person/146108,1,0
20982,,,,304701.0,Enman Gao,,146109,https://themoviedb.org/person/146109,1,0
20983,,,,235426.0,Behzad Dorani,,143152,https://themoviedb.org/person/143152,1,0
20984,,,,,Noghre Asadi,,1923820,https://themoviedb.org/person/1923820,1,0
20985,,,,,Roushan Karam Elmi,,1923821,https://themoviedb.org/person/1923821,1,0
20986,1969-02-01,"Baneh, Iran",,315842.0,Bahman Ghobadi,,54607,https://themoviedb.org/person/54607,1,0
20987,1970-07-11,"Springfield, Ohio, USA",,150362.0,Justin Chambers,https://image.tmdb.org/t/p/w440_and_h660_face/5UGtBemc4GPaCWjCwVR3YYmIlzV.jpg,20746,https://themoviedb.org/person/20746,1,0
20988,1988-02-22,,,416381.0,Colton James,https://image.tmdb.org/t/p/w440_and_h660_face/lvj7T1MKEoqITVbLkhnYswgbYoX.jpg,94509,https://themoviedb.org/person/94509,1,0
20989,1977-05-04," Vancouver, British Columbia, Canada",,673932.0,Emily Perkins,https://image.tmdb.org/t/p/w440_and_h660_face/edh7xIVYn9nghVIWV61MpHl1vHu.jpg,64914,https://themoviedb.org/person/64914,1,0
20990,1981-11-02,"Vancouver, British Columbia, Canada",,410622.0,Katharine Isabelle,https://image.tmdb.org/t/p/w440_and_h660_face/4jbfPE4KqRnSaWAtVDvzv620zAz.jpg,27136,https://themoviedb.org/person/27136,1,0
20991,1978-02-23,"Brampton, Ontario, Canada",,501210.0,Kris Lemche,https://image.tmdb.org/t/p/w440_and_h660_face/5GTujRHh4fql56kkHVrxehwJGn1.jpg,20176,https://themoviedb.org/person/20176,1,0
20992,1978-07-12,"Bexar County, Texas, USA",,735442.0,Michelle Rodriguez,https://image.tmdb.org/t/p/w440_and_h660_face/soXPKCMmOxT7oyfGsMUHB6YHLcC.jpg,17647,https://themoviedb.org/person/17647,1,0
20993,1945-03-04,"New York City, New York, USA",,864222.0,Jaime Tirelli,https://image.tmdb.org/t/p/w440_and_h660_face/oePZf7SVIkvlJbI3lK3qqQLS3so.jpg,59743,https://themoviedb.org/person/59743,1,0
20994,,,,235242.0,Santiago Douglas,,84519,https://themoviedb.org/person/84519,1,0
20997,1977-01-03,"Tokyo, Japan",,407372.0,Mayumi Iizuka,https://image.tmdb.org/t/p/w440_and_h660_face/n6wcdcgg79ywGpkKgeV52em54v7.jpg,65426,https://themoviedb.org/person/65426,1,0
20998,1972-09-08," Tokyo, Japan",,782840.0,Tomokazu Seki,https://image.tmdb.org/t/p/w440_and_h660_face/tw46noc1nTjJ2PU3SzVxKTXKmiO.jpg,90567,https://themoviedb.org/person/90567,1,0
